OldIO,NewIO,NIOBase,NIOType,ChunkedNIO,SingleWriteNIO,DirectNIO,S100MiB,S1MiB,INCompressor,Verifier,ITracing,Tracing,TracingLevel,Severe,Finest,Statistics,PERF
1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,4694.676215976477
0.0,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,2577.5613208562136
2.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,3462.6073819845915
0.0,1.0,1.0,1.0,1.0,-0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,5389.343018978834
-0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,4951.579604923725
0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1616.6032684743404
-0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3798.165625333786
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,4733.699030667543
-0.0,1.0,1.0,1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,5144.604485929012
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1910.7396127134562
-0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5936.388779997826
0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3911.252129495144
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3895.616827324033
2.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3452.665301129222
-0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,5474.714081972837
1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-4.755595525726676
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.0,1.0,1.0,14295.00516307354
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,1.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,4059.4148685336113
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,4829.270990788937
1.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1641.783341512084
-0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,0.0,1.0,1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,2.0,3664.033724024892
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1731.2640336602926
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2685.847691729665
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,2980.1031307429075
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,1.0,1.0,11458.738316059113
-0.0,1.0,1.0,1.0,0.0,1.0,-0.0,1.0,-0.0,-0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.0,0.0,2355.667129933834
1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.0,1.0,4944.5316498577595
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,1.0,-0.0,10635.872495949268
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,3995.433718085289
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,4491.191130459309
1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,3839.83823736012
-0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,0.0,1.0,-0.0,5580.437827974558
-0.0,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1712.955851867795
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,4863.020730882883
2.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,-0.0,5456.866072565317
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,2701.006860360503
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4619.069942235947
-0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,3282.0415332466364
0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,3867.890090569854
1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,1.0,0.0,5220.394926846027
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,4914.208892583847
1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,2363.8883526921272
2.0,-0.0,-0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,8973.681712388992
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,4066.940676033497
0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,9740.613750994205
1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,4578.240815877914
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4313.12209752202
0.0,1.0,1.0,1.0,0.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,4522.713184386492
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2844.2584746927023
1.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3531.2118652313948
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-0.0,0.0,-0.0,8766.029537558556
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,13272.475603580475
1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3089.5490181595087
1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,4208.335394114256
1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,0.0,4349.901019334793
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,5162.652378112078
2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,4464.667619258165
1.0,0.0,0.0,0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-0.0,-0.0,1.0,1717.4869782999158
-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,4725.5077657699585
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,3949.7442971616983
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,5421.943064779043
0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,4101.528499558568
-0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.625852167606
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,4373.027996689081
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.0,-0.0,0.0,3630.411427617073
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6811.188761651516
1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,4026.166554272175
-0.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,7267.76767668128
1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,9539.617132365704
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5227.64423802495
0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5326.322484523058
-0.0,1.0,1.0,1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,5382.82890316844
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,0.0,2109.9424430429935
-0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,2670.8930714428425
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3635.6628932654858
1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,6429.973510801792
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,6175.584617704153
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,-0.0,16700.31099486351
1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,3735.6047721505165
0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2417.859157651663
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198.929833173752
1.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,0.0,1965.1561022400856
0.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,5991.544148236513
2.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,14631.291480660439
-0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,1.0,2741.780982121825
0.0,1.0,1.0,1.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,4185.268332481384
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4393.7608007490635
0.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6687.180407255888
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4478.649100184441
0.0,1.0,1.0,1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,4627.297058343887
2.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2490.54871442914
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,2758.106297314167
-0.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,4426.215968370438
1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,4511.675431609154
-0.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7444.457174688578
2.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7156.761033833027
1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3962.5348303467035
1.0,-0.0,-0.0,-0.0,0.0,-1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4740.138006269932
0.0,1.0,1.0,1.0,0.0,0.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,2626.6691301316023
0.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,1.0,3378.3727532476187
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,3759.2172141820192
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3582.7573112547398
0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1953.4417192563415
-0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,3450.3732792288065
2.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,4524.861801445484
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4493.272956222296
0.0,1.0,1.0,1.0,0.0,1.0,-0.0,0.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4136.59466663003
1.0,-0.0,-0.0,-0.0,1.0,-1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,2456.201536014676
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,1.0,7030.569193392992
1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3793.18574488163
-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,2602.1000010073185
1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,3807.7415818423033
1.0,0.0,0.0,0.0,1.0,-0.0,0.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,4251.668702960014
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,0.0,10053.673395395279
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,8077.979001760483
1.0,-0.0,-0.0,-0.0,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2643.993368089199
0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6231.501701384783
-0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3354.195531874895
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5375.929755181074
0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,1.0,5215.595284670591
0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,3138.3012620061636
-0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,3641.904196098447
1.0,0.0,0.0,1.0,1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,2379.1813494712114
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,4015.925631478429
-0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7900.947198361158
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,2420.6661109775305
2.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,3983.184881955385
