ResizePLAB,UseAdaptiveSizePolicyWithSystemGC,UseAdaptiveSizePolicy,UseAdaptiveGCBoundary,CollectGenFirst,UseAdaptiveSizePolicyFootprintGoal,ResizeOldPLAB,UseAdaptiveSizeDecayMajorGCCost,DisableExplicitGC,UseAdaptiveGenerationSizePolicyAtMajorCollection,UseAdaptiveGenerationSizePolicyAtMinorCollection,BindGCTaskThreadsToCPUs,XX:TargetPLABWastePct,XX:AdaptiveSizePolicyWeight,XX:AdaptiveSizeDecrementScaleFactor,XX:AdaptiveSizePolicyCollectionCostMargin,XX:YoungGenerationSizeSupplement,XX:TenuredGenerationSizeSupplementDecay,XX:SurvivorRatio,XX:SurvivorPadding,XX:TargetSurvivorRatio,XX:TenuredGenerationSizeSupplement,XX:MinSurvivorRatio,XX:MaxTenuringThreshold,XX:TenuredGenerationSizeIncrement,XX:PLABWeight,XX:YoungGenerationSizeIncrement,XX:MinHeapFreeRatio,XX:AdaptiveSizePolicyInitializingSteps,XX:MaxHeapFreeRatio,XX:NewRatio,XX:YoungPLABSize,XX:YoungGenerationSizeSupplementDecay,XX:OldPLABSize,XX:AdaptiveSizeMajorGCDecayTimeScale,performance
2.0,0.0,-1.0,-0.0,-0.0,2.0,1.0,1.0,-0.0,-3.0,-0.0,0.0,32.0,43.0,-3.0,66.0,50.0,6.0,-18.0,-4.0,2.0,68.0,1.0,16.0,1.0,75.0,42.0,-24.0,101.0,43.0,34.0,16462.0,2.0,-2027.0,23.0,-568.640691652894
-2.0,-1.0,1.0,0.0,1.0,2.0,3.0,-2.0,-0.0,1.0,0.0,1.0,-6.0,-14.0,-38.0,108.0,77.0,6.0,17.0,10.0,-38.0,92.0,-1.0,8.0,-27.0,56.0,33.0,8.0,-134.0,80.0,17.0,9492.0,-2.0,-6.0,-14.0,4087.865924730897
1.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,2.0,-0.0,1.0,-2.0,25.0,42.0,26.0,79.0,38.0,-6.0,-30.0,-9.0,29.0,80.0,-1.0,-26.0,-2.0,43.0,85.0,8.0,89.0,35.0,26.0,5071.0,-6.0,-1045.0,37.0,2369.9438770860434
2.0,-1.0,-2.0,1.0,3.0,-2.0,0.0,0.0,3.0,2.0,1.0,2.0,26.0,-16.0,-38.0,92.0,76.0,-6.0,17.0,3.0,19.0,87.0,9.0,10.0,-10.0,103.0,16.0,-28.0,175.0,49.0,11.0,-1586.0,10.0,-1455.0,12.0,2368.2752354443073
-2.0,-2.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,2.0,1.0,-1.0,-1.0,-14.0,-35.0,-38.0,102.0,82.0,-15.0,38.0,9.0,-94.0,52.0,1.0,20.0,-54.0,146.0,84.0,-98.0,-141.0,73.0,16.0,13717.0,-3.0,530.0,-22.0,1397.3839752972126
-1.0,-0.0,1.0,-1.0,-1.0,-0.0,1.0,1.0,0.0,-0.0,0.0,-0.0,-14.0,50.0,19.0,145.0,84.0,16.0,25.0,18.0,17.0,66.0,-3.0,-11.0,-17.0,59.0,39.0,10.0,-184.0,58.0,8.0,1090.0,-20.0,1163.0,-17.0,266.656435681507
1.0,1.0,2.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,2.0,-1.0,-6.0,34.0,48.0,66.0,92.0,17.0,31.0,0.0,3.0,25.0,3.0,-17.0,50.0,31.0,73.0,-30.0,-20.0,56.0,48.0,7187.0,10.0,-1479.0,28.0,6325.3084304481745
0.0,1.0,-1.0,-1.0,2.0,-2.0,1.0,-2.0,-0.0,-1.0,1.0,2.0,-13.0,24.0,22.0,-11.0,57.0,4.0,64.0,-2.0,24.0,48.0,17.0,-3.0,64.0,60.0,110.0,-22.0,36.0,72.0,23.0,6448.0,24.0,1188.0,24.0,3645.3326632529497
-0.0,-1.0,-1.0,1.0,-0.0,-0.0,0.0,1.0,1.0,-1.0,1.0,0.0,26.0,-31.0,-12.0,39.0,99.0,-5.0,-19.0,-5.0,34.0,50.0,7.0,61.0,-75.0,84.0,47.0,23.0,42.0,98.0,5.0,19586.0,11.0,6269.0,7.0,3189.700888685882
1.0,-0.0,-0.0,2.0,-0.0,0.0,1.0,1.0,1.0,-2.0,1.0,-1.0,9.0,-2.0,-4.0,10.0,90.0,-2.0,-21.0,-6.0,38.0,70.0,4.0,25.0,-17.0,77.0,40.0,29.0,-21.0,87.0,2.0,10113.0,1.0,1083.0,12.0,1619.565444752574
1.0,0.0,1.0,-0.0,-2.0,3.0,-0.0,-1.0,0.0,1.0,-1.0,-0.0,12.0,11.0,-28.0,107.0,95.0,-14.0,-52.0,-14.0,40.0,89.0,-9.0,4.0,-25.0,82.0,21.0,82.0,-42.0,96.0,-0.0,6544.0,12.0,-6264.0,19.0,602.8101767487824
1.0,1.0,1.0,1.0,-0.0,1.0,-1.0,-0.0,1.0,1.0,-1.0,0.0,11.0,-10.0,-9.0,4.0,83.0,-15.0,47.0,23.0,51.0,89.0,-2.0,-11.0,57.0,94.0,47.0,-23.0,-91.0,60.0,2.0,9868.0,5.0,529.0,6.0,-1723.1696341894567
0.0,0.0,-1.0,-0.0,1.0,-2.0,-2.0,2.0,-1.0,-0.0,0.0,-1.0,-11.0,21.0,86.0,120.0,57.0,9.0,-17.0,-25.0,51.0,55.0,11.0,10.0,42.0,74.0,82.0,17.0,-67.0,45.0,-1.0,3323.0,-3.0,3980.0,18.0,2661.7955603301525
-2.0,-1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,-0.0,-2.0,-1.0,1.0,-17.0,-14.0,-7.0,21.0,75.0,21.0,46.0,1.0,46.0,111.0,-1.0,12.0,-3.0,87.0,41.0,35.0,1.0,68.0,-3.0,5227.0,4.0,4086.0,-9.0,3143.2209081351757
2.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,2.0,-1.0,2.0,-21.0,16.0,6.0,-7.0,87.0,5.0,42.0,-5.0,62.0,112.0,6.0,54.0,55.0,99.0,35.0,36.0,-89.0,59.0,-1.0,5003.0,22.0,-43.0,9.0,2262.0570206567645
1.0,-1.0,2.0,2.0,1.0,-2.0,1.0,3.0,-1.0,1.0,2.0,-0.0,-15.0,65.0,57.0,22.0,106.0,-9.0,50.0,4.0,63.0,26.0,3.0,64.0,-71.0,76.0,147.0,-59.0,-162.0,68.0,0.0,-3509.0,7.0,-211.0,-22.0,2513.399136096239
-2.0,-1.0,1.0,-0.0,4.0,0.0,1.0,2.0,0.0,-0.0,1.0,1.0,19.0,37.0,42.0,126.0,77.0,-4.0,-23.0,-17.0,56.0,49.0,-0.0,-11.0,47.0,62.0,83.0,12.0,-36.0,59.0,6.0,5966.0,-4.0,2383.0,22.0,3582.991736613214
2.0,-1.0,-1.0,1.0,-2.0,1.0,-0.0,1.0,2.0,1.0,1.0,-2.0,10.0,-26.0,-28.0,30.0,106.0,-22.0,22.0,3.0,-40.0,78.0,-10.0,-29.0,-5.0,102.0,93.0,-59.0,-26.0,75.0,6.0,13972.0,2.0,531.0,-3.0,3154.3064738363028
1.0,-0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,1.0,0.0,3.0,19.0,3.0,71.0,110.0,12.0,-35.0,-1.0,40.0,99.0,-5.0,-30.0,3.0,76.0,13.0,80.0,-108.0,102.0,1.0,7927.0,-26.0,1654.0,5.0,2117.397878795862
-2.0,-2.0,1.0,-2.0,-1.0,1.0,1.0,-0.0,0.0,1.0,-2.0,-0.0,13.0,26.0,51.0,16.0,86.0,20.0,35.0,20.0,51.0,98.0,-1.0,5.0,82.0,89.0,8.0,25.0,-83.0,76.0,11.0,19236.0,-9.0,5525.0,15.0,1147.2014902457595
-2.0,-1.0,-1.0,1.0,2.0,1.0,0.0,0.0,3.0,-1.0,-1.0,1.0,-6.0,15.0,10.0,-128.0,104.0,-19.0,30.0,6.0,61.0,141.0,-4.0,41.0,54.0,109.0,72.0,20.0,-75.0,42.0,-15.0,7105.0,16.0,3824.0,-6.0,196.0358462901786
2.0,1.0,-1.0,-0.0,0.0,-2.0,-1.0,-1.0,-2.0,-1.0,0.0,1.0,6.0,-5.0,-79.0,107.0,79.0,-22.0,-4.0,-7.0,32.0,70.0,-6.0,26.0,-3.0,83.0,123.0,-2.0,-55.0,57.0,-4.0,4097.0,-0.0,-1206.0,-13.0,2682.2667495682836
1.0,-1.0,-1.0,2.0,-2.0,2.0,-1.0,1.0,-0.0,1.0,1.0,1.0,28.0,-13.0,24.0,75.0,94.0,-16.0,-39.0,-22.0,17.0,97.0,4.0,50.0,-49.0,81.0,75.0,12.0,76.0,78.0,12.0,10011.0,1.0,1509.0,10.0,3047.4585788846016
0.0,-3.0,0.0,1.0,-1.0,-1.0,1.0,-0.0,2.0,-1.0,2.0,1.0,17.0,55.0,30.0,40.0,83.0,7.0,23.0,-0.0,-7.0,75.0,2.0,16.0,15.0,82.0,55.0,-75.0,29.0,77.0,54.0,3667.0,4.0,-1432.0,32.0,9036.952986866236
-1.0,-0.0,2.0,0.0,-1.0,-2.0,-0.0,-1.0,0.0,1.0,0.0,-2.0,28.0,72.0,65.0,71.0,93.0,3.0,-27.0,6.0,112.0,34.0,7.0,74.0,17.0,22.0,29.0,60.0,-131.0,47.0,-8.0,-804.0,10.0,1472.0,16.0,1053.2897773981094
-1.0,1.0,-1.0,-1.0,0.0,1.0,-0.0,1.0,1.0,-1.0,-0.0,-0.0,3.0,24.0,23.0,-14.0,88.0,-8.0,-6.0,1.0,123.0,105.0,7.0,34.0,47.0,78.0,21.0,136.0,6.0,46.0,-18.0,-11911.0,13.0,2997.0,10.0,1563.514627918601
-0.0,1.0,0.0,1.0,-3.0,0.0,-1.0,2.0,-0.0,-1.0,-1.0,-1.0,-9.0,46.0,-27.0,56.0,77.0,-5.0,2.0,-3.0,-23.0,26.0,2.0,25.0,-9.0,83.0,120.0,-46.0,49.0,72.0,4.0,6011.0,17.0,-3301.0,2.0,2097.650055423379
0.0,1.0,1.0,-2.0,-1.0,-0.0,2.0,-0.0,0.0,2.0,-0.0,1.0,13.0,43.0,-24.0,83.0,72.0,3.0,19.0,13.0,36.0,57.0,8.0,25.0,45.0,84.0,21.0,-9.0,51.0,75.0,16.0,1079.0,26.0,-5037.0,19.0,998.2947595641017
-0.0,0.0,1.0,2.0,-0.0,-1.0,0.0,2.0,0.0,-1.0,-0.0,-0.0,-12.0,6.0,12.0,61.0,71.0,18.0,3.0,-10.0,11.0,98.0,-2.0,-11.0,54.0,100.0,16.0,26.0,143.0,95.0,35.0,12652.0,-11.0,2629.0,15.0,8288.458630114794
1.0,-1.0,-0.0,1.0,1.0,-1.0,3.0,1.0,-0.0,1.0,0.0,-3.0,1.0,49.0,3.0,53.0,99.0,21.0,22.0,5.0,105.0,73.0,-1.0,-7.0,29.0,32.0,44.0,80.0,83.0,41.0,-12.0,-17964.0,13.0,-230.0,17.0,-917.6010414548218
1.0,2.0,0.0,1.0,-0.0,-2.0,2.0,-1.0,1.0,1.0,-1.0,1.0,40.0,-9.0,-1.0,-18.0,81.0,16.0,52.0,32.0,27.0,73.0,4.0,6.0,63.0,64.0,29.0,-13.0,-5.0,74.0,65.0,15819.0,10.0,2156.0,32.0,1872.541663326323
1.0,-1.0,3.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,2.0,1.0,1.0,0.0,12.0,60.0,111.0,-9.0,9.0,-6.0,2.0,105.0,-7.0,-17.0,21.0,102.0,36.0,42.0,-55.0,78.0,1.0,9719.0,0.0,-201.0,3.0,-3.3851110213436186
1.0,-1.0,-1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,-0.0,-0.0,-13.0,2.0,-25.0,72.0,69.0,-7.0,20.0,-5.0,61.0,78.0,6.0,43.0,-11.0,56.0,75.0,-13.0,70.0,30.0,-10.0,-5550.0,16.0,-1825.0,-6.0,4651.152715995908
1.0,0.0,0.0,2.0,1.0,1.0,1.0,-0.0,4.0,-1.0,-1.0,1.0,22.0,35.0,-3.0,77.0,67.0,3.0,-33.0,6.0,-74.0,72.0,0.0,4.0,-37.0,111.0,29.0,-26.0,57.0,80.0,21.0,21214.0,-10.0,-2722.0,13.0,1189.9734382219613
1.0,-0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-26.0,46.0,5.0,-0.0,87.0,-5.0,16.0,-19.0,30.0,101.0,-5.0,-25.0,71.0,91.0,82.0,74.0,124.0,49.0,-5.0,-1276.0,13.0,-2783.0,4.0,1209.4395568929613
-1.0,1.0,2.0,2.0,2.0,0.0,-0.0,1.0,2.0,-1.0,-2.0,-1.0,-28.0,-3.0,-61.0,148.0,91.0,-4.0,-37.0,-6.0,-54.0,82.0,-9.0,-11.0,-81.0,121.0,116.0,3.0,-175.0,76.0,4.0,12306.0,-11.0,-3960.0,-13.0,1940.6775039210916
1.0,0.0,-1.0,-2.0,-2.0,0.0,-0.0,0.0,-1.0,1.0,-1.0,-2.0,19.0,18.0,8.0,22.0,61.0,-12.0,3.0,0.0,119.0,79.0,3.0,41.0,12.0,55.0,43.0,52.0,-63.0,56.0,-11.0,-2342.0,12.0,1228.0,-0.0,838.2518966477364
0.0,1.0,1.0,0.0,0.0,2.0,-1.0,-1.0,1.0,-1.0,2.0,0.0,-6.0,36.0,35.0,-17.0,86.0,-21.0,37.0,-3.0,90.0,73.0,-6.0,-33.0,54.0,55.0,132.0,-14.0,60.0,17.0,-15.0,-3854.0,8.0,-2572.0,-0.0,-1882.8518395349383
1.0,-1.0,-1.0,-0.0,1.0,-2.0,1.0,2.0,0.0,1.0,-1.0,-1.0,-4.0,-1.0,-4.0,132.0,109.0,19.0,-44.0,-30.0,8.0,88.0,-0.0,-10.0,19.0,117.0,15.0,103.0,127.0,105.0,12.0,6326.0,-5.0,542.0,28.0,4374.34082582593
0.0,1.0,0.0,1.0,1.0,2.0,1.0,-1.0,0.0,2.0,-2.0,1.0,-14.0,-1.0,-10.0,43.0,81.0,-4.0,13.0,-0.0,40.0,54.0,0.0,38.0,-29.0,120.0,115.0,16.0,-84.0,55.0,6.0,7028.0,15.0,2209.0,-2.0,1950.6757542341948
1.0,-0.0,1.0,-0.0,-1.0,0.0,-0.0,-1.0,2.0,-1.0,1.0,-1.0,16.0,85.0,47.0,75.0,107.0,6.0,-23.0,15.0,65.0,14.0,-12.0,-26.0,18.0,-22.0,73.0,9.0,-92.0,26.0,2.0,6200.0,-27.0,15.0,7.0,-2376.6277258768678
-1.0,-0.0,-2.0,0.0,0.0,1.0,1.0,-2.0,1.0,-0.0,-1.0,-1.0,-1.0,81.0,64.0,51.0,67.0,15.0,10.0,0.0,22.0,66.0,9.0,43.0,0.0,56.0,73.0,-14.0,4.0,25.0,21.0,4253.0,18.0,-2957.0,23.0,1313.0052143074572
0.0,2.0,-1.0,0.0,0.0,-1.0,-1.0,-0.0,-1.0,1.0,-0.0,-2.0,23.0,6.0,-1.0,121.0,56.0,-6.0,35.0,3.0,26.0,31.0,3.0,23.0,-51.0,84.0,84.0,-24.0,132.0,63.0,46.0,-2588.0,-9.0,-509.0,4.0,2662.8312838226557
0.0,1.0,0.0,1.0,-1.0,1.0,-2.0,2.0,-2.0,-2.0,-1.0,-1.0,28.0,46.0,35.0,-17.0,83.0,-11.0,43.0,12.0,126.0,70.0,-8.0,-18.0,104.0,45.0,32.0,7.0,-32.0,36.0,-14.0,-177.0,11.0,683.0,28.0,90.4114307446871
-1.0,-2.0,-0.0,0.0,-1.0,0.0,-0.0,-1.0,0.0,-1.0,2.0,-1.0,59.0,0.0,68.0,44.0,88.0,-14.0,-35.0,-10.0,51.0,83.0,1.0,22.0,42.0,26.0,3.0,21.0,-27.0,105.0,-2.0,17719.0,-4.0,2689.0,36.0,1416.0039005354047
4.0,1.0,-1.0,2.0,-2.0,-1.0,1.0,1.0,-2.0,0.0,-1.0,-3.0,25.0,5.0,-50.0,89.0,86.0,4.0,30.0,25.0,12.0,54.0,-10.0,-21.0,-42.0,67.0,48.0,-26.0,-23.0,112.0,1.0,7523.0,-19.0,4879.0,-1.0,2912.20707885921
-0.0,-0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,-0.0,0.0,2.0,1.0,13.0,19.0,49.0,70.0,86.0,-4.0,10.0,-4.0,43.0,33.0,6.0,-2.0,34.0,62.0,36.0,-3.0,23.0,56.0,12.0,3723.0,18.0,460.0,13.0,3438.846570916474
2.0,0.0,1.0,-0.0,-3.0,-0.0,-2.0,0.0,1.0,1.0,-1.0,0.0,-19.0,59.0,74.0,47.0,59.0,32.0,17.0,11.0,74.0,-30.0,19.0,28.0,21.0,-43.0,39.0,48.0,8.0,70.0,26.0,-2053.0,15.0,-438.0,-1.0,-670.2275624219328
-0.0,-2.0,-0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,2.0,-1.0,35.0,56.0,2.0,111.0,85.0,8.0,52.0,10.0,-27.0,20.0,-4.0,-48.0,1.0,18.0,60.0,-7.0,65.0,49.0,9.0,3071.0,10.0,-2575.0,20.0,662.893957959488
1.0,0.0,2.0,3.0,1.0,1.0,-2.0,-1.0,2.0,-1.0,-0.0,-3.0,-12.0,49.0,26.0,142.0,76.0,16.0,4.0,19.0,35.0,48.0,8.0,-10.0,-52.0,27.0,3.0,40.0,-24.0,34.0,-2.0,-9559.0,-6.0,-2237.0,5.0,314.29208008851856
-0.0,-2.0,1.0,-0.0,-0.0,2.0,0.0,1.0,0.0,2.0,-1.0,-2.0,5.0,6.0,-4.0,28.0,95.0,-17.0,25.0,-2.0,-21.0,85.0,-12.0,-11.0,3.0,72.0,87.0,-36.0,-60.0,43.0,0.0,4492.0,13.0,-4255.0,16.0,1635.9267674684525
0.0,-2.0,-0.0,1.0,0.0,-0.0,1.0,1.0,2.0,0.0,1.0,0.0,-11.0,31.0,75.0,108.0,68.0,4.0,-29.0,-22.0,-2.0,70.0,7.0,10.0,-4.0,96.0,89.0,4.0,-103.0,68.0,15.0,13976.0,-2.0,600.0,1.0,2900.5026262775064
-2.0,1.0,0.0,-1.0,0.0,-1.0,-0.0,2.0,-0.0,-0.0,-1.0,3.0,42.0,-18.0,5.0,46.0,72.0,-6.0,6.0,6.0,25.0,105.0,4.0,19.0,46.0,67.0,-38.0,21.0,-67.0,115.0,9.0,30139.0,-6.0,2563.0,32.0,1874.38342923671
0.0,2.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,1.0,-2.0,2.0,6.0,9.0,11.0,-23.0,67.0,-2.0,-31.0,-8.0,34.0,72.0,2.0,62.0,-30.0,108.0,28.0,102.0,-60.0,98.0,19.0,16343.0,11.0,1132.0,6.0,2445.1244938746095
1.0,-0.0,-0.0,2.0,-1.0,1.0,2.0,2.0,1.0,-1.0,1.0,-1.0,26.0,-6.0,-18.0,22.0,103.0,-7.0,-13.0,-7.0,11.0,77.0,-3.0,20.0,27.0,83.0,28.0,5.0,36.0,79.0,3.0,13231.0,12.0,-1131.0,23.0,1908.627064190805
-1.0,-1.0,1.0,0.0,2.0,-0.0,-0.0,-1.0,0.0,-0.0,-1.0,-0.0,17.0,-1.0,-24.0,110.0,79.0,-1.0,-8.0,4.0,-1.0,75.0,2.0,25.0,-31.0,80.0,35.0,-31.0,-97.0,71.0,12.0,13764.0,1.0,-2101.0,10.0,1701.6459918692708
-1.0,0.0,-0.0,-1.0,1.0,1.0,3.0,0.0,1.0,-2.0,-1.0,1.0,2.0,5.0,-6.0,19.0,94.0,-5.0,-36.0,-18.0,-5.0,111.0,-6.0,-2.0,47.0,99.0,42.0,95.0,-52.0,96.0,5.0,21169.0,2.0,1250.0,7.0,2901.276288844645
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.0,-2.0,-0.0,57.0,16.0,-23.0,14.0,97.0,-1.0,10.0,23.0,84.0,69.0,-11.0,-10.0,67.0,44.0,-1.0,41.0,9.0,60.0,1.0,9577.0,4.0,-748.0,34.0,989.3052495345473
-0.0,-3.0,-1.0,-1.0,-0.0,1.0,1.0,-1.0,2.0,0.0,-0.0,-0.0,20.0,55.0,78.0,-20.0,77.0,-6.0,4.0,5.0,105.0,78.0,5.0,48.0,38.0,52.0,72.0,-0.0,-178.0,37.0,0.0,7537.0,11.0,2464.0,6.0,223.70731595531106
1.0,1.0,-1.0,2.0,0.0,-1.0,1.0,-0.0,1.0,-2.0,-2.0,-1.0,1.0,57.0,23.0,133.0,82.0,34.0,-0.0,8.0,29.0,71.0,-1.0,-32.0,13.0,68.0,35.0,32.0,26.0,76.0,11.0,5266.0,-9.0,-65.0,5.0,1549.48174026981
1.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,3.0,10.0,22.0,17.0,75.0,-8.0,34.0,6.0,42.0,102.0,2.0,1.0,16.0,88.0,70.0,7.0,-114.0,75.0,14.0,4622.0,-5.0,3356.0,-15.0,1075.1059177033603
-1.0,-0.0,-1.0,1.0,-1.0,-1.0,-0.0,1.0,-1.0,3.0,-1.0,0.0,-32.0,-22.0,-31.0,163.0,93.0,-8.0,35.0,-8.0,-51.0,65.0,13.0,38.0,-71.0,123.0,126.0,-61.0,-6.0,59.0,15.0,4865.0,7.0,-728.0,-20.0,3904.7639130055904
1.0,-3.0,0.0,1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,19.0,6.0,11.0,-1.0,112.0,-5.0,12.0,-16.0,-31.0,102.0,-11.0,-12.0,76.0,79.0,26.0,10.0,108.0,57.0,14.0,9437.0,7.0,-970.0,36.0,2585.0751737058163
0.0,0.0,2.0,0.0,-1.0,0.0,-2.0,1.0,-2.0,3.0,-0.0,0.0,-14.0,9.0,-37.0,160.0,91.0,14.0,16.0,-1.0,20.0,70.0,-4.0,-10.0,-76.0,82.0,26.0,51.0,62.0,102.0,52.0,-9450.0,1.0,-1655.0,-10.0,7928.945579022169
1.0,3.0,2.0,-1.0,-0.0,3.0,-1.0,-0.0,1.0,1.0,-0.0,-2.0,9.0,47.0,-24.0,104.0,72.0,6.0,-15.0,17.0,27.0,57.0,-1.0,-32.0,-33.0,74.0,5.0,51.0,23.0,90.0,11.0,1372.0,-10.0,-62.0,10.0,1717.9713729508221
-0.0,0.0,1.0,-0.0,-0.0,-2.0,-3.0,1.0,1.0,1.0,-0.0,-1.0,-38.0,2.0,-6.0,114.0,89.0,-9.0,-1.0,-5.0,-9.0,70.0,6.0,-0.0,-84.0,135.0,125.0,3.0,-114.0,70.0,4.0,991.0,-20.0,3003.0,-34.0,3162.088215433061
-2.0,-1.0,0.0,-2.0,-0.0,1.0,3.0,-0.0,3.0,-1.0,-0.0,0.0,2.0,1.0,-20.0,-28.0,80.0,-1.0,21.0,15.0,34.0,106.0,3.0,-1.0,90.0,87.0,16.0,37.0,7.0,77.0,-5.0,9484.0,16.0,569.0,2.0,-62.66233038739301
1.0,-1.0,0.0,2.0,1.0,-2.0,-1.0,0.0,-1.0,-1.0,-0.0,-2.0,-25.0,68.0,40.0,111.0,102.0,34.0,30.0,4.0,85.0,50.0,7.0,-1.0,18.0,44.0,33.0,51.0,10.0,65.0,-5.0,-10357.0,0.0,-497.0,3.0,724.4372609425336
