OperatingSystemCharacteristics,SQLITE_SECURE_DELETE,ChooseSQLITE_TEMP_STORE,SQLITE_TEMP_STOREzero,SQLITE_TEMP_STOREone,SQLITE_TEMP_STOREtwo,SQLITE_TEMP_STOREthree,EnableFeatures,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,DisableFeatures,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,OmitFeatures,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,Options,SetAutoVacuum,AutoVacuumOff,AutoVacuumOn,SetCacheSize,StandardCacheSize,LowerCacheSize,HigherCacheSize,LockingMode,ExclusiveLock,NormalLockingMode,PageSize,StandardPageSize,LowerPageSize,HigherPageSize,HighestPageSize,PERF
-1.0,-1.0,-3.0,-0.0,-1.0,-1.0,-1.0,1.0,-1.0,-3.0,1.0,2.0,-2.0,1.0,-1.0,-2.0,-2.0,-0.0,-2.0,1.0,1.0,-0.0,-0.0,2.0,2.0,-0.0,-0.0,1.0,-1.0,-0.0,2.0,1.0,2.0,-1.0,1.0,2.0,-1.0,0.0,-0.0,-19.18351260261819
-0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,1.0,0.0,-0.0,1.0,2.0,-0.0,1.0,-1.0,-0.0,0.0,0.0,1.0,1.0,2.0,0.0,-1.0,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,2.0,0.0,-1.0,2.0,-0.0,4.862432530329751
-1.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0,-2.0,-1.0,1.0,3.0,2.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-2.0,2.0,-1.0,2.0,1.0,2.0,-0.0,1.0,0.0,-1.0,-0.0,3.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,7.211125991711884
0.0,1.0,1.0,0.0,1.0,-2.0,0.0,1.0,-1.0,-2.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.0,1.0,-2.0,-0.0,-0.0,-0.0,1.0,2.0,0.0,-1.0,2.0,1.0,2.0,-2.0,1.0,-0.0,2.0,2.0,-0.0,1.0,-0.0,-0.0,5.022833212361502
1.0,3.0,0.0,-2.0,0.0,0.0,2.0,-1.0,1.0,-0.0,0.0,2.0,1.0,-0.0,-1.0,0.0,-2.0,1.0,-0.0,-0.0,-2.0,-2.0,-1.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,0.0,-0.0,1.0,1.0,2.0,0.0,0.0,-2.0,33.314822888948534
-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.0,-2.0,2.0,-0.0,-0.0,0.0,1.0,-2.0,-2.0,1.0,0.0,-0.0,1.0,-0.0,2.0,-1.0,-0.0,0.0,2.0,-1.0,0.0,1.0,2.0,2.0,-3.0,-5.254911324434874
1.0,-0.0,0.0,0.0,-2.0,2.0,0.0,0.0,-0.0,2.0,1.0,1.0,-0.0,-0.0,-2.0,0.0,-0.0,-1.0,0.0,-1.0,-1.0,-1.0,-2.0,0.0,1.0,1.0,0.0,0.0,2.0,-2.0,1.0,0.0,1.0,-0.0,1.0,1.0,-1.0,1.0,-1.0,38.86591090474268
-0.0,1.0,-0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2.0,0.0,-2.0,2.0,-0.0,0.0,-1.0,1.0,-0.0,1.0,-0.0,2.0,1.0,0.0,0.0,-1.0,1.0,-0.0,0.0,-17.230074641575516
-1.0,-2.0,-1.0,-1.0,2.0,-0.0,-1.0,0.0,-3.0,1.0,-0.0,2.0,-0.0,-0.0,1.0,1.0,1.0,-3.0,-1.0,2.0,-0.0,0.0,0.0,0.0,-2.0,2.0,0.0,-0.0,1.0,1.0,-1.0,-1.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,2.0,-18.732007531692506
1.0,0.0,-1.0,-1.0,-0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,2.0,-0.0,2.0,0.0,-1.0,2.0,-1.0,-1.0,0.0,2.0,-0.0,1.0,-0.0,1.0,2.0,1.0,-2.0,2.0,1.0,-0.0,0.0,1.0,0.0,0.0,-0.0,10.077966966229125
0.0,-1.0,-0.0,1.0,-2.0,3.0,-2.0,0.0,1.0,1.0,1.0,2.0,-0.0,1.0,1.0,2.0,-0.0,-0.0,-1.0,1.0,-0.0,-3.0,-0.0,2.0,-1.0,0.0,2.0,0.0,-0.0,1.0,-0.0,1.0,0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,6.036639455528639
-0.0,2.0,-1.0,1.0,-0.0,-1.0,-1.0,-0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,-1.0,2.0,3.0,-2.0,-1.0,-0.0,1.0,1.0,2.0,0.0,2.0,-0.0,0.0,2.0,-1.0,-1.0,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.6635358496286305
0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,1.0,1.0,-0.0,-2.0,0.0,-2.0,-2.0,1.0,-1.0,-2.0,1.0,1.0,0.0,0.0,1.0,2.0,-0.0,-1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,5.362510805511326
-1.0,2.0,1.0,-0.0,1.0,-2.0,2.0,-1.0,-0.0,-2.0,1.0,2.0,2.0,-0.0,1.0,1.0,-0.0,0.0,0.0,-1.0,-0.0,0.0,-2.0,1.0,0.0,2.0,-1.0,-0.0,1.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-0.0,0.0,1.0,-0.0,6.568665027022573
0.0,-1.0,2.0,2.0,1.0,-2.0,1.0,-0.0,-1.0,-0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.0,2.0,3.0,-0.0,0.0,-0.0,0.0,2.0,-0.0,1.0,-2.0,1.0,1.0,0.0,-0.0,-1.0,-0.0,2.0,0.0,-1.0,15.843661885330297
