Solver,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,SeqGS,GradientSolver,Precon,cells,post,pre,performance
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,51.0,7.0,6.0,5606.506884610626
1.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,49.0,4.0,3.0,4770.200404010181
1.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,47.0,1.0,5.0,9582.833853633649
1.0,0.0,1.0,-0.0,-0.0,1.0,0.0,1.0,58.0,4.0,3.0,9169.006472609512
1.0,0.0,1.0,-0.0,0.0,1.0,0.0,1.0,51.0,5.0,3.0,4318.902204009651
1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,1.0,57.0,7.0,5.0,9576.824430355962
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,54.0,4.0,1.0,5911.570859309818
1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,52.0,-0.0,3.0,11778.177202478477
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,59.0,-1.0,-3.0,40434.19959534875
1.0,1.0,-0.0,0.0,1.0,0.0,-0.0,1.0,55.0,2.0,0.0,14820.306386648119
1.0,1.0,1.0,0.0,-0.0,0.0,-0.0,1.0,56.0,1.0,-0.0,19833.003779725517
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,57.0,1.0,-1.0,17274.63978000858
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,56.0,5.0,1.0,6893.904303492499
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,57.0,-0.0,2.0,14387.035289904368
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,55.0,0.0,-0.0,22170.906638589287
1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,53.0,0.0,-1.0,19874.8558703513
1.0,-0.0,1.0,0.0,0.0,1.0,-0.0,1.0,50.0,-0.0,5.0,13368.153788582873
1.0,0.0,1.0,0.0,0.0,1.0,-0.0,1.0,55.0,-1.0,4.0,16682.437441730606
1.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,49.0,8.0,5.0,5831.056097608112
1.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,54.0,5.0,4.0,6400.70929410878
1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,54.0,7.0,5.0,4831.573204390066
1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,51.0,8.0,5.0,7207.1284792711685
1.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,55.0,-0.0,3.0,15671.253788422899
1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,51.0,4.0,2.0,10446.33128303002
1.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,49.0,4.0,7.0,7569.118654429168
1.0,1.0,0.0,1.0,0.0,-0.0,0.0,1.0,54.0,7.0,4.0,6528.622050071986
1.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,47.0,-1.0,6.0,16329.235474549552
1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,54.0,0.0,5.0,16824.234010862347
1.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,46.0,6.0,5.0,6542.59218988525
1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,51.0,2.0,2.0,11792.870619585417
1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,51.0,7.0,3.0,9186.772651638303
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,2.0,8.0,9190.711013160007
1.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,1.0,51.0,5.0,6.0,8187.679394897818
1.0,1.0,0.0,0.0,1.0,-0.0,0.0,1.0,54.0,0.0,-1.0,64591.64253896815
1.0,0.0,-0.0,0.0,-0.0,1.0,1.0,1.0,52.0,5.0,2.0,8581.788525917753
1.0,0.0,-0.0,0.0,1.0,1.0,0.0,1.0,56.0,2.0,1.0,8755.288749755706
1.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,57.0,7.0,3.0,11610.603186143562
1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,1.0,51.0,-0.0,7.0,13423.466614046267
1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,50.0,-1.0,8.0,14216.120976820694
1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,1.0,52.0,2.0,7.0,10443.179971638641
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,51.0,-1.0,-2.0,35434.483863116584
1.0,-0.0,0.0,-0.0,1.0,1.0,-0.0,1.0,57.0,-2.0,5.0,9591.745718696287
1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,50.0,2.0,5.0,9008.763999336425
1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,53.0,2.0,10.0,9583.137941184
1.0,1.0,-0.0,0.0,0.0,0.0,1.0,1.0,51.0,5.0,4.0,7502.303386843736
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,53.0,1.0,3.0,10404.420085872709
1.0,1.0,-0.0,0.0,-0.0,1.0,1.0,1.0,50.0,1.0,3.0,9339.770686211808
1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,1.0,49.0,-0.0,8.0,11070.46125865999
1.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,1.0,53.0,7.0,3.0,8622.099958136252
1.0,1.0,1.0,0.0,1.0,0.0,-0.0,1.0,55.0,1.0,1.0,23086.482366283024
1.0,-0.0,-0.0,0.0,1.0,1.0,0.0,1.0,52.0,1.0,4.0,8593.491619159973
1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,53.0,2.0,-1.0,37693.67237633764
1.0,1.0,0.0,0.0,1.0,-0.0,-0.0,1.0,53.0,1.0,7.0,8314.52978872859
1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,48.0,-0.0,-4.0,40323.303298724975
1.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,-3.0,9.0,11534.001899002918
1.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,54.0,2.0,5.0,9238.484644983708
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,51.0,2.0,1.0,20823.078624103113
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,51.0,6.0,1.0,7040.26140816201
1.0,1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,53.0,2.0,2.0,13374.193542843845
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,5.0,6.0,6879.580302207597
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,56.0,3.0,5.0,8806.765872410046
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,4.0,6.0,12103.625542237822
1.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,54.0,1.0,3.0,8891.292878797864
1.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,54.0,1.0,2.0,14993.362533782103
1.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,52.0,-1.0,-1.0,21108.98936057644
1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,54.0,7.0,5.0,3895.759322529951
1.0,-0.0,-0.0,0.0,0.0,1.0,1.0,1.0,52.0,7.0,2.0,7280.589343065715
1.0,1.0,0.0,-0.0,1.0,-0.0,0.0,1.0,55.0,3.0,1.0,12075.030424459384
1.0,0.0,1.0,0.0,-0.0,1.0,0.0,1.0,57.0,1.0,-0.0,22224.62669857155
1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,56.0,1.0,-0.0,19908.070630199036
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,52.0,3.0,6.0,9311.755745703354
1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,52.0,4.0,0.0,8855.457988624967
1.0,1.0,-0.0,0.0,1.0,0.0,0.0,1.0,51.0,2.0,-0.0,17664.934206592505
1.0,0.0,1.0,0.0,-0.0,1.0,-0.0,1.0,55.0,2.0,4.0,4217.258412722312
1.0,0.0,1.0,-0.0,0.0,1.0,-0.0,1.0,49.0,6.0,6.0,5994.890848106465
1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,49.0,2.0,2.0,8296.244094396383
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,52.0,2.0,-2.0,17270.508544541895
1.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,54.0,7.0,5.0,8913.359057995198
1.0,-0.0,1.0,0.0,0.0,1.0,0.0,1.0,55.0,1.0,5.0,7637.5375755410105
1.0,0.0,-0.0,0.0,0.0,1.0,1.0,1.0,52.0,6.0,3.0,8364.073505628003
1.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,51.0,10.0,4.0,4502.3447686243535
1.0,0.0,-0.0,0.0,1.0,1.0,-0.0,1.0,52.0,5.0,1.0,10241.240173526268
1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,55.0,4.0,2.0,8425.145329327615
1.0,0.0,-0.0,1.0,0.0,1.0,0.0,1.0,58.0,1.0,3.0,16405.904423114443
1.0,-0.0,0.0,-0.0,0.0,1.0,1.0,1.0,54.0,5.0,0.0,11120.187739176623
1.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,51.0,2.0,5.0,7281.524159524855
1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,51.0,-1.0,7.0,10393.661141699871
1.0,-0.0,-0.0,0.0,0.0,1.0,1.0,1.0,51.0,0.0,5.0,12574.23407940327
1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,56.0,2.0,1.0,13456.924021760267
1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,1.0,53.0,1.0,8.0,9976.230595405186
1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,49.0,5.0,4.0,6396.61577794182
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,52.0,2.0,3.0,12730.077004665241
1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,46.0,-3.0,7.0,11330.090586977132
1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,50.0,2.0,4.0,7171.502017393655
1.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,51.0,4.0,5.0,8463.138385618744
1.0,1.0,1.0,-0.0,0.0,0.0,-0.0,1.0,54.0,-0.0,0.0,51513.79359084708
1.0,-0.0,0.0,1.0,0.0,1.0,-0.0,1.0,55.0,1.0,1.0,14656.337091018791
1.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,54.0,0.0,-0.0,24764.63189850939
1.0,0.0,-0.0,-0.0,1.0,1.0,0.0,1.0,55.0,4.0,1.0,16195.496058925879
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,53.0,1.0,-1.0,17321.150398579666
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,50.0,3.0,2.0,10183.152451951217
1.0,1.0,-0.0,0.0,1.0,0.0,-0.0,1.0,51.0,6.0,4.0,11541.137457249686
1.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,51.0,4.0,5.0,9167.69601858817
1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,49.0,9.0,2.0,6344.910784054095
1.0,-0.0,0.0,0.0,0.0,1.0,-0.0,1.0,55.0,1.0,5.0,9580.872450047997
1.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,53.0,3.0,4.0,12747.116017812756
1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,54.0,3.0,2.0,11411.349624345557
1.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,54.0,5.0,1.0,9613.33049074869
1.0,1.0,1.0,0.0,0.0,-0.0,0.0,1.0,54.0,1.0,2.0,31544.97544515431
1.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,53.0,-4.0,6.0,12509.237115379796
1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,50.0,-1.0,1.0,17891.181565795094
1.0,1.0,-0.0,0.0,1.0,0.0,0.0,1.0,47.0,2.0,3.0,10422.699558464758
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,54.0,5.0,3.0,7589.183766447327
1.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,1.0,54.0,2.0,4.0,10754.550068849432
1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,64.0,-2.0,-3.0,99718.78488162799
1.0,-0.0,-0.0,-0.0,1.0,1.0,0.0,1.0,52.0,2.0,5.0,8955.93831450226
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,55.0,1.0,-1.0,20642.690156189776
1.0,-0.0,0.0,0.0,0.0,1.0,-0.0,1.0,53.0,2.0,-0.0,12035.762689152838
1.0,0.0,-0.0,1.0,0.0,1.0,0.0,1.0,53.0,2.0,1.0,11664.75954565459
1.0,1.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,56.0,5.0,6.0,8374.64735303106
1.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,54.0,4.0,2.0,11429.94329481572
1.0,1.0,-0.0,0.0,0.0,-0.0,1.0,1.0,50.0,4.0,4.0,8408.733156501288
1.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,52.0,4.0,0.0,11124.049884381358
1.0,-0.0,-0.0,0.0,1.0,1.0,-0.0,1.0,53.0,1.0,6.0,11686.97426889826
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,5.0,4.0,7371.69583967344
1.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,56.0,2.0,3.0,14187.623851449787
1.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,1.0,58.0,0.0,-0.0,56037.08579201613
1.0,0.0,1.0,-0.0,0.0,1.0,-0.0,1.0,56.0,2.0,5.0,12768.779339334687
1.0,-0.0,0.0,-0.0,0.0,1.0,1.0,1.0,47.0,-1.0,6.0,9852.151986815992
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,48.0,5.0,3.0,5248.377299222323
1.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,52.0,2.0,5.0,13093.719051835898
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,51.0,-3.0,11.0,6016.360906824656
1.0,1.0,-0.0,0.0,0.0,-0.0,1.0,1.0,55.0,1.0,4.0,12185.620300380247
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,1.0,-2.0,18100.95997879239
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,55.0,-0.0,6.0,12566.587560745807
1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,1.0,53.0,2.0,3.0,14373.840534458628
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,53.0,-2.0,-1.0,24542.581103045173
1.0,1.0,0.0,1.0,0.0,-0.0,-0.0,1.0,51.0,0.0,9.0,11744.033070194242
1.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,49.0,9.0,5.0,4034.0705505954365
1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,47.0,0.0,5.0,10827.796282608435
1.0,-0.0,0.0,-0.0,1.0,1.0,0.0,1.0,52.0,1.0,-1.0,13470.59007402318
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,56.0,4.0,2.0,8850.398158439302
1.0,1.0,0.0,0.0,1.0,-0.0,0.0,1.0,53.0,2.0,1.0,11702.808597607165
1.0,0.0,-0.0,0.0,0.0,1.0,1.0,1.0,53.0,2.0,1.0,10169.05554418218
1.0,0.0,-0.0,1.0,0.0,1.0,0.0,1.0,57.0,5.0,-1.0,9320.974809186426
1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,1.0,52.0,0.0,5.0,11346.736075059483
1.0,0.0,-0.0,0.0,0.0,1.0,1.0,1.0,50.0,6.0,1.0,9335.048385429862
1.0,1.0,0.0,-0.0,0.0,-0.0,1.0,1.0,53.0,6.0,5.0,6934.2818417002045
1.0,-0.0,-0.0,-0.0,1.0,1.0,0.0,1.0,51.0,5.0,6.0,9523.001711661049
1.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,55.0,-1.0,0.0,13526.100439736672
1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,50.0,7.0,3.0,5921.2826068418635
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,56.0,2.0,-0.0,11114.061658270923
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,2.0,0.0,14560.666948003214
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,55.0,0.0,1.0,15292.615792029988
1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,1.0,50.0,2.0,2.0,6818.602582327915
1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,51.0,4.0,-3.0,8227.457312897539
1.0,1.0,0.0,-0.0,0.0,0.0,1.0,1.0,50.0,3.0,2.0,8959.75068578571
1.0,-0.0,0.0,1.0,0.0,1.0,-0.0,1.0,52.0,7.0,5.0,7229.742171602643
1.0,1.0,1.0,-0.0,0.0,0.0,-0.0,1.0,56.0,-1.0,3.0,38293.32680389306
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,58.0,-0.0,-2.0,27590.269412048372
1.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,58.0,1.0,3.0,13433.746484226733
1.0,1.0,-0.0,1.0,0.0,0.0,-0.0,1.0,50.0,0.0,0.0,14644.529783628881
1.0,0.0,0.0,-0.0,0.0,1.0,0.0,1.0,53.0,-1.0,5.0,11710.210912963323
1.0,-0.0,0.0,0.0,1.0,1.0,-0.0,1.0,54.0,-1.0,-3.0,13830.038668325544
1.0,-0.0,0.0,-0.0,0.0,1.0,1.0,1.0,52.0,-2.0,6.0,13067.142888739598
1.0,0.0,1.0,0.0,-0.0,1.0,0.0,1.0,55.0,5.0,3.0,6599.92163687822
1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,53.0,3.0,2.0,11496.256156883175
1.0,0.0,-0.0,0.0,-0.0,1.0,1.0,1.0,51.0,2.0,4.0,11529.617127624686
1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,50.0,2.0,-3.0,11801.210862270795
1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,55.0,2.0,3.0,12438.363717774568
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,54.0,1.0,-1.0,20661.636910414058
1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,51.0,4.0,2.0,8442.976058910574
1.0,1.0,0.0,0.0,1.0,-0.0,-0.0,1.0,59.0,-0.0,1.0,29835.67677081355
1.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,1.0,53.0,0.0,-0.0,19260.518136016704
1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,52.0,1.0,3.0,14197.813506397924
1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,51.0,0.0,2.0,16436.126525944896
1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,49.0,0.0,-1.0,19916.351766352887
1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,56.0,2.0,8.0,7204.693445715787
1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,49.0,6.0,2.0,9082.612166455972
1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,55.0,3.0,5.0,9748.927873527844
1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,52.0,5.0,4.0,9538.051323392188
1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,51.0,1.0,5.0,14926.365280296972
1.0,0.0,0.0,0.0,1.0,1.0,-0.0,1.0,52.0,2.0,1.0,13584.186605876685
1.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,54.0,1.0,2.0,10707.167628938332
1.0,-0.0,-0.0,0.0,1.0,1.0,0.0,1.0,51.0,9.0,4.0,11626.159869697796
1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,52.0,5.0,0.0,9469.404531046961
1.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,52.0,5.0,6.0,9518.238969568056
1.0,1.0,0.0,0.0,1.0,-0.0,0.0,1.0,52.0,6.0,3.0,8574.986608487101
1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,56.0,4.0,-2.0,13269.63719944379
1.0,0.0,0.0,0.0,1.0,1.0,-0.0,1.0,51.0,0.0,4.0,10645.621397551467
1.0,0.0,-0.0,0.0,0.0,1.0,1.0,1.0,55.0,3.0,1.0,8030.505794958983
1.0,1.0,-0.0,0.0,-0.0,0.0,1.0,1.0,52.0,4.0,6.0,9056.414751791954
1.0,-0.0,0.0,0.0,1.0,1.0,0.0,1.0,57.0,2.0,-1.0,12386.762938034533
1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,51.0,1.0,3.0,11766.803861464772
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,53.0,4.0,1.0,11919.408370973117
1.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,1.0,51.0,1.0,2.0,10244.717348558563
1.0,1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,53.0,3.0,7.0,10085.310143902047
1.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,1.0,56.0,2.0,-0.0,25236.770206036843
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,53.0,3.0,4.0,10654.18484516511
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,50.0,6.0,3.0,7902.61792595642
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,52.0,3.0,7.0,8869.790544802589
