feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,PERF
1.8539307068138516e-17,1.5828095984321145e-17,5.538359736807e-18,1.2631840938852278e-17,3.352722843376152e-17,1.7367087027422105e-17,1.0835843598817222e-17,3.6778711259838914e-17,1.1821217094204142e-17,2.1437492030420342e-17,7.618444723129481e-10,4.4679467715352885e-10,1.0670727811605616e-17,1.1166363788191577e-17,3.094379636750159e-18,5.5728042897951044e-18,3.6785591983747096e-17,13.4827773187025
7.457230808300561e-18,6.351462563041127e-18,5.93696208870062e-18,4.968358345721963e-18,2.5852521449781418e-17,8.606438756859457e-18,1.2286811259147138e-17,1.66720243748093e-17,4.058016875190861e-18,5.126128549343039e-18,2.002428755400769e-10,1.6791754970017817e-09,1.0117643468772434e-17,4.463250028937377e-18,2.8338615961574747e-18,6.491779288668413e-18,2.4775937560993878e-17,13.9068635570979
7.207619286874297e-157,5.961414133396911e-157,2.5575394021612356e-157,5.996287509685611e-157,2.614211679647169e-157,3.0762567862455696e-157,7.231173670691872e-158,1.0821441637192776e-157,1.022309903115886e-157,2.425814397715752e-157,1.8393054207774558e-158,2.1498335123453425e-158,2.017180894307153e-157,3.61706216246846e-157,4.1999431157005306e-157,4.821012452457253e-157,4.054908019259447e-157,13.3982485875091
2.550531305998608e-157,2.1016050799168967e-157,2.651041931965896e-157,2.2740658915679235e-157,2.862500617061197e-157,3.7906856029139404e-158,7.712817895806106e-158,3.434387070490918e-157,3.106837787661669e-157,7.91932055650107e-158,2.0488687057184285e-158,2.3492547687846324e-158,7.235704662396021e-158,1.2963067977697403e-157,6.136806415326128e-158,1.6279857937955892e-157,4.398337770155782e-157,13.4402177638348
3.230651959286662e-17,2.6608915892397208e-17,6.497606839969766e-18,8.00530573353709e-18,1.0195260730822587e-17,6.712295911421712e-18,2.25613806939671e-18,2.048195769282551e-17,2.2963350950855232e-17,7.158206396780033e-18,1.9887470221723812e-10,2.3078913503949972e-10,1.4973448131867643e-17,8.422090841492868e-18,8.363320970396332e-18,1.500188503315424e-17,1.9841904083116397e-17,13.2769928216634
1.3772049261641493e-17,1.1295483660612733e-17,3.5638472202302613e-17,4.398638114061869e-17,1.0163319374546987e-17,1.556413368384779e-17,1.2164606625874673e-17,8.565763280000735e-18,2.2185561143024247e-17,7.11164931103773e-18,4.1809715736581697e-10,4.820369162472317e-10,6.39552393071941e-18,8.251977392407739e-18,3.6231072121730514e-18,6.268191150738712e-18,8.311083396849973e-18,13.371447143129101
1.361039610649318e-17,1.122876991063354e-17,6.516454979565879e-18,8.022835481034783e-18,1.0066670020262459e-17,6.7062992746320395e-18,5.140252461780158e-18,8.619169771440028e-18,9.443853690902207e-18,3.7305123207523725e-17,1.9299608471158592e-10,2.2393585945596915e-10,6.27014122348995e-18,8.17367669454629e-18,1.9595365421411384e-17,6.326863953700136e-18,8.22049838978806e-18,13.6114403043494
2.3042901829344204e-157,1.895105565600892e-157,8.858511655467463e-158,7.13835447568115e-158,2.5885129509166032e-157,7.860744353580509e-157,1.5762205761946445e-156,2.8515283525385137e-157,8.339923579335416e-157,1.9697162072831262e-157,1.2200446325149261e-157,1.9396398406482147e-157,6.883252623611342e-158,2.969771394300663e-157,4.922569131060566e-158,1.7385616366666898e-157,1.2633459243963802e-157,15.6878084691201
1.3006934432463723e-17,1.0636325585127057e-17,1.4779042738074603e-17,1.8283026137250868e-17,2.3666849758641724e-17,6.238376477462774e-18,4.746414733737055e-18,3.3172668286402653e-18,3.5553620546127076e-18,1.4994566405129354e-17,3.9123513815337113e-10,4.595170403333602e-10,1.4408482821367535e-17,3.199297443940118e-18,3.337365541660802e-18,6.039292155933164e-18,7.747952334391077e-18,15.720773847541098
0.9905799699486127,0.9936127638299972,0.8502005800733742,0.9796786900375717,0.9937846190133862,0.7435758281101182,0.8020683612488173,0.9757927322955638,0.9983090298473581,0.8992618593308156,0.729347632668779,0.75040106619138,0.961478367104189,0.9921318602461116,0.7580168706330692,0.6986379759247984,0.9298864480705468,14.279890291198699
0.8489156267316634,0.7225402256437027,0.30258805237061537,0.5535230050788311,0.9207683922883176,0.5950867119890422,0.44357981793756546,0.7948312024777764,0.7796919410179007,0.6556027930162562,0.36252875434419074,0.497722356541945,0.7823118228219558,0.6928718315768742,0.41686619332542857,0.49568952959493906,0.9187919396184103,15.019867691092598
0.8381131312112352,0.8492652962329047,0.9668927737174582,0.9961966267637454,0.8859731833418415,0.9657970690490838,0.9964875342123921,0.9910427059600084,0.7588771788762128,0.9976215310615334,0.970208003138269,0.9872466319909123,0.9890072091432168,0.828678103507648,0.9945798767950641,0.983654705027867,0.4794738801073919,15.100657115729401
0.8483129123262696,0.8443020107575158,0.6545239092464288,0.8127807289408918,0.9235139098363355,0.47445280864118095,0.7017047469295219,0.6669867689925554,0.7766135555472303,0.6566891481574532,0.4775697376095667,0.5013919168182859,0.6546963755776279,0.8189436811110264,0.41735220318063543,0.3801761041281741,0.9188128228072181,15.347939739602001
0.9448770136124529,0.9424417285360978,0.40235011761365486,0.5507252276503392,0.9228553876623029,0.3609352934798657,0.4468147691991586,0.798101740905206,0.7803253925876662,0.6562314762641844,0.3643199748980951,0.38581479739766467,0.7833528923004682,0.8204784921925646,0.5349565560953143,0.4984837168718326,0.9868069860274983,15.031666487832696
0.9410121461955618,0.9379444246546657,0.6442278050613321,0.8034579716673808,0.9181866827701388,0.4655932588467922,0.5649057123036135,0.7893982419660448,0.8889163500030841,0.40377458525244436,0.473342829022414,0.4971045543604631,0.7783521952919802,0.8142563465314854,0.3051774738620841,0.4893199458586568,0.9847042468428547,15.185956201552901
0.9316937420221517,0.9293282408448226,0.49799171412563914,0.6567505234388107,0.789236107807774,0.45576391653099957,0.5554007976256977,0.897218705946995,0.969566625334976,0.5120878958036426,0.34955826636078074,0.3679218999365033,0.6287475526424566,0.9147968179950089,0.5179741259731983,0.4755697428575482,0.9802200246922435,14.6226886806095
0.8287199677126579,0.8259251520783184,0.6392958252837777,0.9109488326931733,0.9101751613620593,0.5909857165810286,0.5602493533092644,0.6488036777221614,0.8899291554478856,0.5172807924665029,0.4716532375859415,0.49424474996803547,0.5062549735898667,0.5412479418555279,0.2956363194930249,0.4851192354840055,0.9831473563876669,14.6731782154544
0.8319737573751123,0.8284357009744323,0.640433208260732,0.8003070409787065,0.7990814570079247,0.46154152968107504,0.324836807067753,0.6497724950740963,0.7695999053727035,0.5168191041631134,0.4688655459015006,0.4918262062178286,0.8886413095375718,0.8066515938333451,0.5219653506417633,0.26885513072993106,0.7969903523015743,14.9959807256865
0.8302878913376912,0.8275304757977868,0.5079842456431581,0.6677810821446655,0.911008446499044,0.3478021244334842,0.4333484486166212,0.5164471147296514,0.8882249912474472,0.5156477500047963,0.35609481375023144,0.4946104763818339,0.7740504333808398,0.6759864367453063,0.2121768734647707,0.48240114760470093,0.9826230788893359,15.3059164655422
0.8325341423051339,0.829123713357074,0.6423804513090844,0.8014957405060305,0.9129969747524286,0.2538020950537067,0.3242811919446486,0.7852925353540303,0.8867861350053542,0.6471990769359222,0.35596561696323026,0.4923552641872278,0.7733712354629987,0.8088189396613081,0.5246334321839704,0.4835354946087824,0.9823884623855778,15.2772585902856
0.9419729753631524,0.9386660198573739,0.6473374341709793,0.806708812438233,0.8103722387392742,0.3574038785095434,0.5693020987252043,0.7941858049588584,0.8932307688236871,0.6525410156037762,0.36265568438078527,0.3810225740637044,0.5164945216847308,0.6904386846507324,0.4135394212465963,0.37386161018811775,0.9843248978937635,15.576515735981696
0.8315758842857914,0.9330144620760764,0.5076438693847312,0.6672448787115426,0.9109058281114816,0.3474213167209295,0.4338321471032165,0.7837196160935487,0.890611012317272,0.6482748720809054,0.4692351747978789,0.493995129725358,0.772364975556939,0.6779833499925679,0.5237015700489083,0.2692582819366723,0.982687402873922,14.5854903438768
0.9271586835424761,0.8152897736398965,0.37482303469933437,0.6534206772049554,0.9012251446007467,0.4503926925971041,0.5500280555899149,0.7731120947671134,0.8820219203817006,0.7721805118307186,0.5921130102153617,0.48319107203351347,0.6250174274566097,0.9109153569888845,0.5081682541109226,0.2561714607534509,0.8989976294314592,14.674639018661699
0.9256791397551302,0.9234977723600383,0.6267535150712498,0.7862455211000959,0.6475745644450157,0.4496337798504711,0.5458725595785768,0.7689311722146067,0.8773485722402456,0.6339583092957217,0.3422440091607171,0.3627779976230574,0.4916314528649564,0.7936618008687302,0.5067450466119883,0.3525206083611525,0.9770694576341327,14.4337510037051
0.936280596448329,0.9335093510485688,0.6427178911687411,0.8025455488653697,0.9102840662516988,0.46229813582588025,0.5608772502819159,0.5172904923539423,0.7708287268629701,0.5148925486179584,0.47069963035397977,0.3737680304333358,0.7719222638726949,0.6786270285856245,0.5234796305571667,0.4838923134260917,0.9822354071477906,15.313209049988696
0.9672630756185967,0.9727374410038201,0.9440013195376697,0.9985117024225665,0.8622301142274699,0.9638252002190743,0.8810921404386998,0.9992778779802579,0.9651992243288893,0.9988394477821583,0.7467685995371133,0.9794197382506742,0.8152920143255308,0.9987496621714318,0.9639093481494807,0.9112870192795478,0.8632464352089533,15.500715747433
0.987685009684578,0.9911618789782077,0.993595885000988,0.9985504980902802,0.6775703919929723,0.9846462148586731,0.9950169388768628,0.9709239386628692,0.9739798790425986,0.9453883393279193,0.8099841397161757,0.9991360610442747,0.9567518549247616,0.9997150459415961,0.9539855840313736,0.9387061821358211,0.9820907616149938,14.8111349304449
0.7200702696349056,0.7339010263351797,0.9604764072657876,0.9295421676598294,0.7998077475211719,0.9128430027301765,0.9901166142188463,0.9496022856372917,0.8803334487426842,0.4544826524013503,0.9436500475735219,0.98382261374285,0.6062194332865988,0.8456203835361397,0.9979384283759901,0.9391583369297057,0.9714999539213724,14.601540371701601
0.9957311024313125,0.9975170361074419,0.9938448866649756,0.9999744208642545,0.9977059571406942,0.9780673068005009,0.99649166305128,0.9996387646347745,0.9930246878676076,0.719598227344548,0.938318648950641,0.8185674078249136,0.9550947955211332,0.9062955013154286,0.9829301178067427,0.9993035846652587,0.9999955551799259,15.0135003358126
0.9336338025391179,0.9421944076894752,0.9493113489740442,0.999740824316606,0.8427471641532024,0.960869349581345,0.990052718096576,0.9591861292269056,0.9908295068719566,0.5385437131693462,0.9441951278064633,0.9199413026354489,0.8418145902120572,0.9762696077453153,0.8891264833855054,0.9683146935368044,0.9657210466383124,14.449323507641099
0.998072839848386,0.9993201446469209,0.8334121519738713,0.9646998843976956,0.9588603778753261,0.9958638730617754,0.9764366201708645,0.9979221752371469,0.7426066893465124,0.9488862488357472,0.9755835574729238,0.9966447827123275,0.8547400877421697,0.9667603134039109,0.8408909135745338,0.8214248714610948,0.8570177548010633,15.0421285922947
0.9928515279884349,0.9953749074652875,0.9117509813718432,0.9840369311594424,0.7982115897924748,0.8276093973775871,0.9422369739304677,0.9900020413324746,0.6418600076620385,0.9905579171971156,0.970265494733815,0.8888148461982595,0.9706632720089735,0.9619026596875662,0.9873701762100797,0.9689069278239485,0.8071596532339771,15.153973303239901
0.9999998268533372,0.9997105392365859,0.9743729688968911,0.9955533345459082,0.6107181850597687,0.5271258813600465,0.580663705581577,0.9475273915497618,0.9394103091429227,0.9205262679972167,0.9902050746344085,0.7582320682958786,0.9956673430146363,0.9454773638688435,0.9768558572767461,0.9813602161174879,0.9637097370633383,15.3310165735037
0.7946932261315487,0.8077639357843857,0.9796483851432787,0.9649606438260947,0.713287955738546,0.32341044868333985,0.5192213712652695,0.9025364965896616,0.46008878702444783,0.37530384361757224,0.9711268115560896,0.8671097187452974,0.8368963633665373,0.6186537649778664,0.9794665179938271,0.8421481382594241,0.9349400356442302,14.868215301846499
0.9991796722508833,0.9998461341635076,0.9921071991696208,0.999262447259522,0.9646540568118213,0.7358693465755309,0.51431596260915,0.9771285314204718,0.6858007711826951,0.5961573220532445,0.9589696576142096,0.9966106061140587,0.9998936197991165,0.6628453045861544,0.9247954606153099,0.9712736709124199,0.9825448184229665,15.458162044561501
0.9507955632328581,0.9584977096844495,0.945436238882543,0.9997781927301699,0.7196991704567857,0.3727414302598751,0.682198811260596,0.887148972776863,0.6722423613651226,0.40920265317212823,0.9525620764065067,0.9434061323300298,0.9605521476119618,0.803338375431573,0.9563815766237241,0.9998828433725023,0.8992051016623607,15.0376730592489
0.9656654615568423,0.9717435698201141,0.9068224387275353,0.989005861803255,0.9751676372470415,0.9829502925019757,0.869779773189066,0.9438950854118315,0.9851011592794332,0.9438483042752317,0.7937743665746597,0.8283854487536492,0.9251492373160051,0.971739077149524,0.9815073573023544,0.8933553531304512,0.7336793999752912,14.863401908973
0.9298605860065134,0.9379318615874973,0.977671878359383,0.9557493104261376,0.8038636533158027,0.935241800858757,0.9341856449298823,0.9957602823258254,0.9304717475940321,0.9848149382557612,0.8073795860303736,0.9987182325778171,0.8842810835861362,0.9518128337315213,0.948085243407513,0.9993612601731272,0.6332762781784731,15.4335231876757
0.9774023468551581,0.9822152235204237,0.9991112858877613,0.9402579298492302,0.6474117973408462,0.7231693062273855,0.9828055682329151,0.9989798958588816,0.9827934989172199,0.9221919410399033,0.8390489809983507,0.9904081766423629,0.99492826388194,0.9477049143461027,0.9756975443177733,0.999868007515725,0.8808117720023103,14.8127778461626
0.6802062016479662,0.6945450048579488,0.9361223607384005,0.7808200174405123,0.7723635448441453,0.5478246635436635,0.9738434571409653,0.9924580705087558,0.8560901630751304,0.40633093895328204,0.9619511012922615,0.9963725659525895,0.7403229627997139,0.6521445209664555,0.8158347079885893,0.7549791246538652,0.85487171875433,14.978009857802501
0.9831934363928573,0.9869925869172439,0.999986258417329,0.9443006707443693,0.9894494638615549,0.9209185302310855,0.9790121449781218,0.9917034448523975,0.980064529230447,0.6500633957584258,0.9657511507892906,0.8756825011374747,0.9899608651696316,0.7161802077671999,0.7183342806531516,0.9368041821256766,0.9432436532045012,14.6714029410971
0.8963332113379889,0.9069695343435323,0.9759783905574476,0.9387582299958197,0.7979035302999016,0.6246132626350681,0.999706088692487,0.9922191523391836,0.9763757308751108,0.4643951718010906,0.9703146653459208,0.9599282545637284,0.9168977623029948,0.847668804390771,0.9981269849787147,0.9918125679566182,0.8238829040739505,15.0975856239799
0.9990029573011726,0.9998009709432729,0.9184948266478516,0.9987243965515252,0.9638428503445815,0.8314865085805093,0.8856594505996228,0.9980491196339284,0.8956128340072751,0.858074775553391,0.8167429149374881,0.8482414488537319,0.8420019656600499,0.999717431424676,0.8452720169891936,0.7954315077166053,0.704130062423952,14.968535266563801
0.9936416393797355,0.9959649406202201,0.9755978530401885,0.9986189417027445,0.8024321290272873,0.9900282238405997,0.9330058828689266,0.9880987465227217,0.8144765335752077,0.9949026716953203,0.8103116336377256,0.9988105581132171,0.9750728953863131,0.9986330857042272,0.9903122890199861,0.9577001568651058,0.6331299740303086,14.616642380397101
0.9993996616932234,0.9999471883499069,0.9995967684586083,0.9833273900248481,0.5853370999561831,0.9443784315285297,0.9650013710298931,0.9283967624848923,0.991800886845517,0.9806881225409088,0.8764068139353487,0.9751080943832785,0.9974564770792548,0.9891648636356841,0.9876878880501676,0.9805718314671925,0.8380935167555765,14.925235798374901
0.7758873500525292,0.7891453606291154,0.892148556620461,0.8540211916916943,0.6924342994472121,0.8148450123471027,0.9410765517525571,0.8793889392464218,0.6257435597560136,0.5256373214300657,0.9869937114184472,0.9995069849173054,0.8265695083195843,0.748685430306757,0.9659061800291203,0.846752764292511,0.7874601818983592,14.7997172433081
0.9999836715444267,0.9996065958774307,0.9985430771718606,0.9873974857054039,0.9761491010369681,0.9993091050203055,0.9629963528301317,0.9826187331205524,0.8698018996269983,0.7904641111808476,0.9817832531729201,0.9036035692710487,0.9990707787112785,0.8329840768013467,0.9320994799473168,0.9882346923568611,0.9168773697917947,14.6617549075572
0.9599141463074037,0.9667228195831793,0.9893599121122505,0.9813250460851491,0.7401815413743938,0.885162784779988,0.9982364115404303,0.8921259480268866,0.8512903685869074,0.6061927190860478,0.9879589560044062,0.9799938511214322,0.9716251627022584,0.9259499242359732,0.9556660696341471,0.9986253022311844,0.7702449627383188,15.2338957401056
0.7957630956290314,0.8064830273263134,0.9876502583357987,0.9654855821366128,0.9917266338328082,0.9795629383584576,0.949431110704876,0.9730516276155196,0.7841337326431648,0.9397509474445247,0.9825479751012226,0.7156487443015951,0.9995467920862879,0.8541094162508519,0.9753231330636536,0.9931274357844984,0.7902613659994663,15.0771971765875
0.8233732759431598,0.8314586910487282,0.8768539921426441,0.7339941156301154,0.6160551480583263,0.9669479034624232,0.9984160319955672,0.8284536760648497,0.8935267138772731,0.9959478672733573,0.9749622679083959,0.8620544982906355,0.9988186650624271,0.8843172876036386,0.9104969461067586,0.9654170683215015,0.82903047806047,15.066722700148
0.9988107904472999,0.999550406051534,0.9668005103835381,0.9994764272468958,0.9952670751498606,0.9999780611020133,0.8570006353507246,0.992652690476194,0.8758097367583597,0.9997634222668091,0.9404896994029687,0.727326287248054,0.7164929928214161,0.747740618780818,0.9968969108608355,0.8429870030148633,0.9804699028078391,15.3008743651262
0.961214204491311,0.9669221742055304,0.8811926060854947,0.9983649168368415,0.9378496222007889,0.8983611882813227,0.9653227237558486,0.9423307931494959,0.8873760972310566,0.982705577441922,0.9478396789162319,0.8268974420106943,0.8230278925229714,0.8920838064706567,0.8273443175390426,0.7165379196775391,0.9132427429948466,14.9088907030499
0.9744896189573833,0.9782029684433328,0.9991162840348247,0.9838751988691046,0.93067707048942,0.8157384345590689,0.7094227910688695,0.8986154316780326,0.7190406980776942,0.8354452955413871,0.9033960283291774,0.9816383456743178,0.9978303223487318,0.6529417879268278,0.781278513462289,0.9958058229442135,0.9170432878334462,15.3662515792832
0.8915402809542099,0.9002081437113546,0.9791582361809018,0.986577168918526,0.6693572343472883,0.48997371837786663,0.86773963644003,0.7752306191474899,0.7286405783804003,0.6973178815882741,0.9085947527978498,0.9998082159779837,0.9551677325156128,0.8149244000751195,0.9979091460429185,0.9453798102619893,0.801377073082487,14.691087491551098
0.9714021887812205,0.9771298115792307,0.986032986650323,0.9945074754404224,0.9506041469418918,0.9995066800328849,0.9727593992132791,0.9864398586623931,0.5659691683970322,0.901620049039034,0.7841862619839699,0.9440406297417291,0.9844204597980243,0.957121728411972,0.9843896791051111,0.9749989304417598,0.9209944329240736,14.6623536430418
0.9999701225783203,0.9996623307927063,0.9628294184100308,0.9113660098474935,0.9961401278665749,0.9652868139434172,0.9103722925186718,0.9385144801835927,0.9855045774502762,0.9487450856443986,0.8512330126829671,0.5491900517907079,0.899179246956541,0.9084738475916148,0.6911926739311118,0.9014018209955079,0.945709249917351,14.704738786967699
0.9723378458971986,0.977046820727788,0.8803458463964624,0.9160046533392325,0.8464349996016968,0.9813120282878844,0.8030121202592126,0.9903618674929007,0.987119327675151,0.993536779286794,0.8479930101386094,0.6608565532071723,0.9709796019410935,0.9827856380224395,0.9973203906384809,0.7934416591290832,0.8432296258615373,15.4579259932091
0.15310617148779074,0.17774221208708935,0.14222624812797993,0.15346200093807125,0.18855252993727067,0.5200590009506,0.47890569965253477,0.19683373484200675,0.5631223651363072,0.5000169822833319,0.7851072191174991,0.8052503122247334,0.2251079865469831,0.5340716283109282,0.517935895982244,0.4922088967508338,0.5758229052655772,15.1767853444185
0.3837252833379933,0.4229618690956519,0.6496844087740038,0.7620864429941584,0.9469488826061824,0.9906963656794191,0.9274664865082316,0.7391883908164947,0.7279068954561524,0.6302384729911575,0.963710643747427,0.9934928893510239,0.579950714249022,0.7936790257147243,0.9989652511257017,0.6940126075645698,0.8234295102508101,15.512506745251
0.6244795929308149,0.6664090069785118,0.6869721566071824,0.8115397409840955,0.798770948006204,0.8207757488135164,0.758612962091136,0.8024292655124143,0.8082100408921623,0.3909269266385337,0.9981849739187806,0.8969329832781883,0.3854739427087059,0.8913977673986999,0.9961380764335339,0.4609579764894788,0.9706192336592567,14.8331266386833
0.5265241250250815,0.5680061588625192,0.7431096593892031,0.7041567400732524,0.7978076636606679,0.9774369168625776,0.9735694912479796,0.8278954321462394,0.5187805372759109,0.792018953450325,0.9936500054940086,0.9865086584711017,0.37075463105728446,0.9042586746249638,0.9529928769200973,0.6692505782879659,0.8302923004594613,15.2258743996759
0.7575692516376712,0.7911037134283608,0.6387615200060667,0.7208089995898633,0.8908968577492326,0.9918171971636324,0.7801471159385979,0.6444401918063355,0.8772720826102319,0.7066454410822554,0.9335979794077661,0.9994296811084579,0.5913299166181731,0.7943977661700482,0.7071565220452337,0.7693926101425945,0.8667248183017826,15.1118042921964
